Open Time ET,Side,Qty Open,Symbol,Descrip,Avg Price Open,Qty Closed,Closed Time ET,Avg Price Closed,DD as %,DD $,DD Time ET,DD Quant,DD Worst Price,Trade P/L
2022-10-14 10:45:01,SHORT,3,@MNQZ2,MICRO E-MINI NASDAQ 100,10856.0572,3,2022-10-14 12:29:37,10825.0360,-1.63,-423.01,2022-10-14 11:04:00,2,10971.5000,183.00
2022-10-14 10:00:34,SHORT,2,@MNQZ2,MICRO E-MINI NASDAQ 100,10978.5884,2,2022-10-14 10:28:19,10922.2870,-0.76,-197.65,2022-10-14 10:05:00,2,11028.0000,223.00
2022-10-14 07:04:11,LONG,2,@MNQZ2,MICRO E-MINI NASDAQ 100,11093.8172,2,2022-10-14 07:56:17,11077.4652,-0.48,-125.63,2022-10-14 07:56:00,1,11031.0000,-67.00
2022-10-14 05:30:19,SHORT,1,@MNQZ2,MICRO E-MINI NASDAQ 100,11009.8823,1,2022-10-14 06:24:42,11072.1220,-0.52,-136.24,2022-10-14 06:24:00,1,11078.0000,-125.00
2022-10-14 04:45:00,SHORT,3,@MNQZ2,MICRO E-MINI NASDAQ 100,11025.0296,3,2022-10-14 05:19:38,11021.4320,-0.11,-29.88,2022-10-14 05:19:00,-2,11032.5000,19.00
2022-10-13 15:05:38,SHORT,1,@MNQZ2,MICRO E-MINI NASDAQ 100,11101.9328,1,2022-10-13 15:40:26,11069.2302,-0.31,-80.63,2022-10-13 15:10:00,1,11142.2000,64.00
2022-10-13 08:33:35,LONG,2,@MNQZ2,MICRO E-MINI NASDAQ 100,10546.7550,2,2022-10-13 10:19:48,10592.3286,-0.69,-179.02,2022-10-13 08:48:00,2,10502.0000,180.00
2022-10-13 08:33:10,SHORT,1,@MNQZ2,MICRO E-MINI NASDAQ 100,10562.6703,1,2022-10-13 08:33:13,10565.2485,-0.02,-5.00,2022-10-13 08:33:13,1,10565.2000,-6.00
2022-10-13 03:27:03,LONG,1,@MNQZ2,MICRO E-MINI NASDAQ 100,10844.3738,1,2022-10-13 07:03:52,10867.8585,-0.16,-42.25,2022-10-13 04:10:00,1,10823.2000,46.00
2022-10-11 20:54:08,LONG,2,@MNQZ2,MICRO E-MINI NASDAQ 100,10895.1239,2,2022-10-12 04:07:37,10914.9910,-0.92,-236.50,2022-10-12 00:00:00,2,10836.0000,77.00
2022-10-11 15:21:11,LONG,2,@MNQZ2,MICRO E-MINI NASDAQ 100,10807.2137,2,2022-10-11 18:47:39,10855.9360,-0.23,-59.85,2022-10-11 15:32:00,2,10792.2000,193.00
2022-10-11 11:34:05,LONG,3,@MNQZ2,MICRO E-MINI NASDAQ 100,10931.5901,3,2022-10-11 11:59:42,10976.3108,-0.10,-24.54,2022-10-11 11:42:00,3,10927.5000,265.00
2022-10-11 11:02:54,LONG,3,@MNQZ2,MICRO E-MINI NASDAQ 100,10905.7675,3,2022-10-11 11:13:15,10893.8397,-0.53,-135.07,2022-10-11 11:08:00,2,10872.0000,-75.00
2022-10-11 10:34:03,LONG,3,@MNQZ2,MICRO E-MINI NASDAQ 100,10855.2221,3,2022-10-11 10:58:25,10862.5013,-0.18,-46.33,2022-10-11 10:37:00,3,10847.5000,41.00
2022-10-11 08:04:55,LONG,2,@MNQZ2,MICRO E-MINI NASDAQ 100,10907.8168,2,2022-10-11 10:04:23,10797.4658,-1.87,-477.27,2022-10-11 10:04:00,2,10788.5000,-443.00
2022-10-10 19:02:58,LONG,2,@MNQZ2,MICRO E-MINI NASDAQ 100,11017.8236,2,2022-10-10 20:06:36,10997.5331,-0.38,-98.65,2022-10-10 20:06:00,1,10968.5000,-83.00
2022-10-10 13:15:29,LONG,2,@MNQZ2,MICRO E-MINI NASDAQ 100,10923.4188,2,2022-10-10 14:09:08,11032.5555,-0.25,-64.68,2022-10-10 13:19:00,2,10907.2000,435.00
2022-10-10 11:01:38,SHORT,1,@MNQZ2,MICRO E-MINI NASDAQ 100,10933.4129,1,2022-10-10 11:50:43,11009.8974,-0.67,-171.67,2022-10-10 11:50:00,1,11019.2000,-154.00
2022-10-09 19:08:30,LONG,1,@MNQZ2,MICRO E-MINI NASDAQ 100,11029.1916,1,2022-10-10 09:20:10,11114.9780,-0.34,-87.38,2022-10-10 00:00:00,1,10985.5000,171.00
2022-10-09 18:44:33,SHORT,1,@MNQZ2,MICRO E-MINI NASDAQ 100,11013.4705,1,2022-10-09 19:08:30,11029.5827,-0.15,-38.56,2022-10-09 19:08:00,1,11032.8000,-33.00
2022-10-07 13:02:14,SHORT,3,@MNQZ2,MICRO E-MINI NASDAQ 100,11109.4287,3,2022-10-07 14:35:09,11096.3644,-0.26,-65.19,2022-10-07 14:15:00,2,11133.8000,75.00
2022-10-07 10:55:52,SHORT,1,@MNQZ2,MICRO E-MINI NASDAQ 100,11255.7770,1,2022-10-07 11:00:07,11243.0069,0.00,0.00,2022-10-07 10:55:52,,0.0000,25.00
2022-10-07 10:11:11,SHORT,1,@MNQZ2,MICRO E-MINI NASDAQ 100,11239.4106,1,2022-10-07 10:55:52,11256.6232,-0.29,-73.18,2022-10-07 10:23:00,1,11276.0000,-35.00
2022-10-07 08:51:56,SHORT,1,@MNQZ2,MICRO E-MINI NASDAQ 100,11318.3819,1,2022-10-07 10:05:32,11224.6361,-0.47,-118.24,2022-10-07 09:18:00,1,11377.5000,186.00
2022-10-06 20:26:16,LONG,1,@MNQZ2,MICRO E-MINI NASDAQ 100,11522.9563,1,2022-10-07 00:54:06,11509.9391,-0.36,-91.41,2022-10-07 00:00:00,1,11477.2000,-27.00
2022-10-06 09:01:53,SHORT,2,@MNQZ2,MICRO E-MINI NASDAQ 100,11648.7847,2,2022-10-06 20:08:44,11545.7498,-1.02,-250.86,2022-10-06 09:54:00,2,11711.5000,410.00
2022-10-06 04:15:00,SHORT,1,@MNQZ2,MICRO E-MINI NASDAQ 100,11612.7643,1,2022-10-06 06:55:50,11542.6828,-0.06,-15.97,2022-10-06 04:17:00,1,11620.8000,139.00
2022-10-05 18:37:08,LONG,1,@MNQZ2,MICRO E-MINI NASDAQ 100,11639.3064,1,2022-10-05 20:08:24,11687.4800,0.00,0.00,2022-10-05 18:37:08,,0.0000,95.00
2022-10-05 09:10:31,SHORT,2,@MNQZ2,MICRO E-MINI NASDAQ 100,11435.3715,2,2022-10-05 13:06:43,11573.5222,-2.30,-570.51,2022-10-05 13:06:00,2,11578.0000,-555.00
2022-10-05 05:00:00,LONG,1,@MNQZ2,MICRO E-MINI NASDAQ 100,11550.5093,1,2022-10-05 09:00:00,11510.9921,-0.38,-95.52,2022-10-05 08:57:00,1,11502.8000,-80.00
2022-10-04 15:00:00,LONG,1,@MNQZ2,MICRO E-MINI NASDAQ 100,11632.5160,1,2022-10-04 21:00:00,11584.4662,-0.48,-120.53,2022-10-04 20:51:00,1,11572.2000,-97.00
2022-09-30 12:26:35,LONG,2,@MNQZ2,MICRO E-MINI NASDAQ 100,11177.4869,2,2022-09-30 15:47:01,11124.9468,-1.13,-287.95,2022-09-30 15:00:00,2,11105.5000,-212.00
2022-09-30 01:18:32,LONG,1,@MNQZ2,MICRO E-MINI NASDAQ 100,11241.9491,1,2022-09-30 04:29:58,11319.3105,-0.14,-35.40,2022-09-30 01:59:00,1,11224.2000,154.00
2022-09-29 15:07:42,LONG,1,@MNQZ2,MICRO E-MINI NASDAQ 100,11140.7616,1,2022-09-29 16:52:19,11228.5824,-0.11,-28.52,2022-09-29 15:10:00,1,11126.5000,175.00
2022-09-29 09:39:40,SHORT,1,@MNQZ2,MICRO E-MINI NASDAQ 100,11314.1587,1,2022-09-29 09:42:19,11303.1753,0.00,0.00,2022-09-29 09:39:40,,0.0000,21.00
