Symbol, Date, Open, High, Low, Close, Volume
MCD, 2021-10-01T13:30:00.000Z, 0.78915, 0.7893, 0.7891, 0.7893, -1
MCD, 2021-10-01T13:31:00.000Z, 0.7893, 0.7894, 0.7893, 0.7893, -1
MCD, 2021-10-01T13:32:00.000Z, 0.7893, 0.7895, 0.7893, 0.7894, -1
MCD, 2021-10-01T13:33:00.000Z, 0.7894, 0.7897, 0.7894, 0.7895, -1
MCD, 2021-10-01T13:34:00.000Z, 0.7895, 0.7895, 0.789, 0.7892, -1
MCD, 2021-10-01T13:35:00.000Z, 0.7892, 0.7895, 0.78915, 0.7893, -1
MCD, 2021-10-01T13:36:00.000Z, 0.7893, 0.7895, 0.7892, 0.7893, -1
MCD, 2021-10-01T13:37:00.000Z, 0.7893, 0.7894, 0.789, 0.789, -1
MCD, 2021-10-01T13:38:00.000Z, 0.789, 0.7891, 0.7889, 0.789, -1
MCD, 2021-10-01T13:39:00.000Z, 0.789, 0.7891, 0.7888, 0.7888, -1
MCD, 2021-10-01T13:40:00.000Z, 0.7888, 0.7891, 0.7888, 0.7889, -1
MCD, 2021-10-01T13:41:00.000Z, 0.7889, 0.78905, 0.7889, 0.789, -1
MCD, 2021-10-01T13:42:00.000Z, 0.789, 0.7891, 0.7889, 0.7891, -1
MCD, 2021-10-01T13:43:00.000Z, 0.7891, 0.7893, 0.789, 0.7892, -1
MCD, 2021-10-01T13:44:00.000Z, 0.7892, 0.7892, 0.7889, 0.7889, -1
MCD, 2021-10-01T13:45:00.000Z, 0.7889, 0.7894, 0.7889, 0.7892, -1
MCD, 2021-10-01T13:46:00.000Z, 0.7892, 0.7894, 0.7892, 0.7893, -1
MCD, 2021-10-01T13:47:00.000Z, 0.7893, 0.78935, 0.7891, 0.78915, -1
MCD, 2021-10-01T13:48:00.000Z, 0.78915, 0.7893, 0.7891, 0.7892, -1
MCD, 2021-10-01T13:49:00.000Z, 0.7892, 0.7893, 0.7891, 0.7891, -1
MCD, 2021-10-01T13:50:00.000Z, 0.7891, 0.7891, 0.7889, 0.789, -1
MCD, 2021-10-01T13:51:00.000Z, 0.789, 0.789, 0.7888, 0.7889, -1
MCD, 2021-10-01T13:52:00.000Z, 0.7889, 0.7891, 0.7889, 0.789, -1
MCD, 2021-10-01T13:53:00.000Z, 0.789, 0.7892, 0.7889, 0.78915, -1
MCD, 2021-10-01T13:54:00.000Z, 0.78915, 0.7892, 0.7889, 0.7889, -1
MCD, 2021-10-01T13:55:00.000Z, 0.7889, 0.7889, 0.7887, 0.7888, -1
MCD, 2021-10-01T13:56:00.000Z, 0.7888, 0.789, 0.7887, 0.789, -1
MCD, 2021-10-01T13:57:00.000Z, 0.789, 0.7891, 0.7889, 0.78905, -1
MCD, 2021-10-01T13:58:00.000Z, 0.78905, 0.78905, 0.78865, 0.7887, -1
MCD, 2021-10-01T13:59:00.000Z, 0.7887, 0.78875, 0.788, 0.788, -1
