Date,Open,High,Low,Close,Volume
2021-01-04,0.785700,0.789600,0.781500,0.783000,2339
2021-01-05,0.782300,0.790300,0.781900,0.789700,2148
2021-01-06,0.789200,0.791900,0.786100,0.787900,2378
2021-01-07,0.789200,0.789800,0.785500,0.788500,1446
2021-01-08,0.788300,0.790300,0.784800,0.786800,1621
2021-01-11,0.787500,0.787500,0.779300,0.782900,1704
2021-01-12,0.782800,0.787000,0.782000,0.786200,1143
2021-01-13,0.786600,0.788700,0.784600,0.787700,1487
2021-01-14,0.787600,0.792300,0.787100,0.791600,1496
2021-01-15,0.791100,0.791600,0.783600,0.785900,2083
2021-01-19,0.785700,0.786500,0.781400,0.785600,2525
2021-01-20,0.785500,0.793400,0.785500,0.791100,2077
2021-01-21,0.791800,0.794400,0.790800,0.792000,2153
2021-01-22,0.791700,0.791700,0.785100,0.785900,1761
2021-01-25,0.785500,0.788300,0.782700,0.784400,1774
2021-01-26,0.784900,0.788100,0.782400,0.787800,1802
2021-01-27,0.788000,0.788500,0.779900,0.781700,2742
2021-01-28,0.781200,0.782000,0.776400,0.781700,2381
2021-01-29,0.780100,0.785100,0.776800,0.781200,2884
2021-02-01,0.781800,0.783600,0.777400,0.778800,3028
2021-02-02,0.778200,0.782500,0.777000,0.781000,2645
2021-02-03,0.782400,0.783500,0.780700,0.782500,2176
2021-02-04,0.782400,0.782700,0.778600,0.779400,2428
2021-02-05,0.779700,0.783800,0.779000,0.783300,2651
2021-02-08,0.783500,0.785300,0.782500,0.784900,1640
2021-02-09,0.784800,0.788000,0.783300,0.787800,2271
2021-02-10,0.787800,0.789500,0.786800,0.788100,2307
2021-02-11,0.787400,0.789800,0.786700,0.787500,1919
2021-02-12,0.787100,0.788800,0.783400,0.787200,1759
2021-02-16,0.788100,0.793100,0.787200,0.788800,3557
2021-02-17,0.787800,0.788200,0.784600,0.787500,1517
2021-02-18,0.787200,0.789600,0.785500,0.788700,2281
2021-02-19,0.788800,0.794100,0.786700,0.792400,2780
2021-02-22,0.792800,0.794900,0.790300,0.793700,2857
2021-02-23,0.792900,0.795200,0.790700,0.794100,2158
2021-02-24,0.794200,0.799700,0.793800,0.798200,2018
2021-02-25,0.799100,0.802100,0.792900,0.795200,2510
2021-02-26,0.794100,0.794400,0.784400,0.787000,4320
2021-03-01,0.784900,0.791200,0.784900,0.790500,2547
2021-03-02,0.791200,0.793600,0.787500,0.792600,2013
2021-03-03,0.791000,0.794200,0.789900,0.791400,2499
2021-03-04,0.790000,0.795200,0.787800,0.789850,2670
2021-03-05,0.789400,0.790800,0.785200,0.789600,2817
2021-03-08,0.790000,0.793500,0.787400,0.790200,2048
2021-03-09,0.789600,0.794100,0.788300,0.791600,1955
2021-03-10,0.791200,0.793100,0.788500,0.792100,2226
2021-03-11,0.792300,0.798700,0.792100,0.797500,2138
2021-03-12,0.797600,0.802500,0.795400,0.802200,974
2021-03-15,0.800600,0.803500,0.800000,0.801700,227
2021-03-16,0.801800,0.801800,0.796700,0.801800,1574
2021-03-17,0.803700,0.806500,0.800700,0.805500,1890
2021-03-18,0.805900,0.808800,0.798500,0.799600,3102
2021-03-19,0.800600,0.802500,0.797100,0.800400,2324
2021-03-22,0.799000,0.801800,0.797600,0.799600,1925
2021-03-23,0.798800,0.798900,0.794200,0.795700,2845
2021-03-24,0.795000,0.797200,0.793200,0.796000,1579
2021-03-25,0.795200,0.797100,0.792000,0.792800,1624
2021-03-26,0.793300,0.796000,0.793200,0.794200,1263
2021-03-29,0.794700,0.795800,0.792100,0.794000,2194
2021-03-30,0.794000,0.794900,0.790800,0.791700,1598
2021-03-31,0.792100,0.797500,0.791600,0.795700,2361
2021-04-01,0.796100,0.797300,0.793600,0.797000,1665
2021-04-05,0.795000,0.799900,0.794000,0.798500,1700
2021-04-06,0.798500,0.799000,0.794900,0.795100,2368
2021-04-07,0.795400,0.795700,0.791400,0.792200,2479
2021-04-08,0.792800,0.796400,0.792100,0.795900,2242
2021-04-09,0.795900,0.798400,0.793100,0.798400,2475
2021-04-12,0.798000,0.798300,0.795400,0.796100,1742
2021-04-13,0.796000,0.798300,0.788800,0.797900,3279
2021-04-14,0.797800,0.800000,0.795100,0.798500,2884
