Date,Open,High,Low,Close,Volume
10/10/2022,111.4375,111.6719,110.7031,111.0156,457923
10/07/2022,111.9062,111.9688,111.1875,111.4844,1236101
10/06/2022,112.5469,112.7031,111.8438,111.9375,1352703
10/05/2022,113.2969,113.5312,112.2656,112.5312,1481210
10/04/2022,113.2344,113.9375,113.1719,113.5,1653884
10/03/2022,111.8281,113.8594,111.7969,113.2031,1778440
09/30/2022,112.0938,112.8906,111.7344,112.0625,1948767
09/29/2022,112.625,112.6094,111.9844,112.4531,1841059
09/28/2022,111.0156,112.9375,110.5938,112.8594,2743347
09/27/2022,111.0625,112.0469,110.6875,110.8906,2233259
09/26/2022,112.7031,112.7031,111.0156,111.3594,2001140
09/23/2022,112.7031,112.8438,112.5938,112.625,2062535
09/22/2022,113.9062,114,112.6719,112.75,2158268
09/21/2022,113.8594,114.3125,113.2969,114.2344,1705999
09/20/2022,114.4219,114.5312,113.6406,113.8438,1431822
09/19/2022,114.7188,114.7969,114.2188,114.3594,908673
09/16/2022,114.5938,114.9531,114.3281,114.75,1143557
09/15/2022,114.9375,115.0312,114.3906,114.5,1208273
09/14/2022,115.0781,115.2031,114.5312,114.9688,1428625
09/13/2022,115.6406,116.1406,114.7344,114.9531,1743305
09/12/2022,115.6719,116.1875,115.5,115.6094,1039693
09/09/2022,115.7812,116.3438,115.6719,115.7344,1082566
09/08/2022,116.1094,116.7188,115.7031,115.9688,1371827
09/07/2022,115.5312,116.2344,115.4219,116.1719,1351162
09/06/2022,115.5938,115.7188,115.5156,115.5938,1554443
09/02/2022,116.0469,116.8125,115.8906,116.6562,1416640
09/01/2022,116.4062,116.5469,115.7188,115.9844,1628312
08/31/2022,117.0938,117.2344,116.3906,116.9062,1791445
08/30/2022,117.1406,117.5312,116.75,117.0781,1175626
08/29/2022,117.5,117.5469,116.8906,117.1094,1088270
08/26/2022,117.7969,117.9219,117.2969,117.5781,1979104
08/25/2022,117.2188,117.8125,117.1094,117.7812,2779030
08/24/2022,117.6875,117.9062,117.1094,117.25,2780320
08/23/2022,117.8438,118.2188,117.4531,117.625,1813981
08/22/2022,118.25,118.4375,117.6719,117.7188,1261851
